act_gov|649|2026-01-21 01:02:53|ACT
adelaide|200|2025-12-04 01:29:17|SA
adelaide-hills|14|2025-12-04 01:46:51|SA
adelaide-plains|20|2026-01-21 01:07:02|SA
albany|30|2025-12-04 12:31:56|WA
albury-city-council|4|2026-01-22 00:14:48|NSW
alexandrina|1|2025-12-04 03:05:14|SA
alice_springs|1|2025-12-04 06:42:15|NT
alpine|33|2026-01-21 01:08:56|VIC
apy|46|2026-01-21 01:07:02|SA
ararat|35|2026-01-21 03:45:49|VIC
armidale-regional-council|11|2026-01-22 00:14:48|NSW
ashburton|30|2026-01-21 03:46:48|WA
aurukun|11|2026-01-21 01:05:57|QLD
ballarat|36|2026-01-21 01:08:56|VIC
ballina-shire-council|16|2026-01-21 01:04:32|NSW
balonne|10|2025-12-03 03:50:11|QLD
balranald-shire-council|24|2026-01-22 00:14:48|NSW
banana|19|2026-01-21 01:26:41|QLD
banyule|14|2026-01-21 01:08:56|VIC
barcaldine|11|2026-01-21 01:05:57|QLD
barcoo|7|2026-01-21 01:05:57|QLD
barkly|2|2025-12-04 06:42:15|NT
barossa|10|2025-12-04 01:56:37|SA
bass-coast|1087|2025-12-04 00:14:06|VIC
bassendean|30|2026-01-21 03:46:48|WA
bathurst-regional-council|20|2026-01-21 01:04:32|NSW
baw-baw|22|2026-01-21 01:08:56|VIC
bayside|8|2026-01-21 03:45:49|VIC
bayside-council|28|2026-01-21 01:04:32|NSW
bayswater|11|2025-12-05 03:16:00|WA
bega-valley-shire-council|11|2026-01-21 01:04:32|NSW
belyuen|43|2026-01-21 01:04:56|NT
benalla|12|2026-01-21 01:08:56|VIC
berri-barmera|20|2026-01-21 01:07:02|SA
berrigan-shire-council|14|2026-01-21 01:04:32|NSW
beverley|16|2026-01-21 03:46:48|WA
blacktown-city-council|21|2026-01-21 02:38:20|NSW
bland-shire-council|20|2026-01-21 01:04:32|NSW
blayney-shire-council|1|2025-12-03 03:49:19|NSW
blue-mountains-city-council|20|2026-01-22 03:19:45|NSW
boddington|46|2025-12-05 03:16:00|WA
boroondara|15|2025-12-05 02:05:09|VIC
boulia|16|2026-01-21 05:23:15|QLD
bourke-shire-council|3|2025-11-30 10:38:20|NSW
boyup-brook|57|2026-01-21 02:43:43|WA
break-o-day|1|2025-12-03 03:50:29|TAS
brewarrina-shire-council|31|2026-01-21 01:04:32|NSW
bridgetown-greenbushes|48|2025-12-05 03:16:00|WA
brighton|23|2026-01-21 01:07:26|TAS
brimbank|20|2026-01-21 01:08:56|VIC
brisbane|6|2026-01-21 01:05:57|QLD
broken-hill-city-council|12|2026-01-22 03:19:45|NSW
brookton|50|2026-01-21 02:43:43|WA
bruce-rock|30|2026-01-21 03:46:48|WA
bulloo|3|2025-12-03 03:50:11|QLD
buloke|3|2025-12-03 03:51:39|VIC
bunbury|43|2026-01-21 01:09:11|WA
bundaberg|15|2026-01-21 05:23:15|QLD
burdekin|24|2026-01-22 00:16:58|QLD
burke|2|2025-12-03 03:50:11|QLD
burnie|19|2026-01-22 00:21:36|TAS
burnside|15|2026-01-21 01:07:02|SA
burwood-council|11|2026-01-21 01:04:32|NSW
busselton|30|2026-01-21 03:46:48|WA
byron-shire-council|3|2026-01-21 01:04:32|NSW
cabonne-council|22|2026-01-21 02:38:20|NSW
cairns|63|2026-01-22 00:16:58|QLD
cambridge|2|2025-12-04 12:31:56|WA
camden-council|19|2026-01-21 01:04:32|NSW
campaspe|20|2026-01-21 01:08:56|VIC
campbelltown-city|20|2026-01-21 01:07:02|SA
campbelltown-city-council|11|2026-01-21 01:04:32|NSW
canning|12|2026-01-21 02:43:43|WA
capel|73|2026-01-21 02:43:43|WA
cardinia|42|2026-01-21 01:08:56|VIC
carnamah|20|2025-12-04 13:49:46|WA
carnarvon|54|2026-01-21 02:43:43|WA
carpentaria|14|2026-01-21 01:05:57|QLD
carrathool-shire-council|4|2026-01-21 01:04:32|NSW
casey|18|2026-01-21 01:08:56|VIC
cassowary-coast|22|2026-01-22 03:21:39|QLD
ceduna|1|2025-12-04 01:17:43|SA
central-coast|27|2026-01-21 03:44:20|TAS
central-coast-council|13|2026-01-21 03:41:07|NSW
central-darling-shire-council|11|2026-01-21 04:25:42|NSW
central-goldfields|20|2026-01-21 01:08:56|VIC
central-highlands|32|2026-01-21 04:53:49|QLD
central_desert|12|2026-01-21 01:04:56|NT
cessnock-city-council|4|2025-12-03 03:49:19|NSW
chapman-valley|46|2026-01-21 02:43:43|WA
charles-sturt|28|2026-01-21 05:51:27|SA
charters-towers|2|2025-12-03 03:50:11|QLD
cherbourg-aboriginal-shire|12|2026-01-21 01:05:57|QLD
chittering|53|2026-01-21 03:46:48|WA
circular-head|28|2026-01-21 03:44:20|TAS
city-of-canada-bay|13|2026-01-22 03:19:45|NSW
city-of-canterbury-bankstown|14|2026-01-21 01:04:32|NSW
city-of-newcastle|22|2026-01-22 03:19:45|NSW
city-of-parramatta|20|2026-01-21 01:04:32|NSW
city-of-ryde|17|2026-01-21 05:21:56|NSW
city-of-sydney|25|2026-01-21 01:04:32|NSW
city-of-willoughby|10|2026-01-21 01:04:32|NSW
claremont|9|2026-01-21 03:46:48|WA
clarence|18|2026-01-21 01:07:26|TAS
cleve|19|2026-01-21 01:27:42|SA
cloncurry|2|2025-12-03 03:50:11|QLD
cobar-shire-council|25|2026-01-21 01:04:32|NSW
cockburn|1|2025-12-04 12:31:56|WA
coffs-harbour-city-council|3|2026-01-21 01:04:32|NSW
colac-otway|18|2026-01-21 01:08:56|VIC
collie|2|2025-12-04 12:31:56|WA
coober-pedy|20|2026-01-21 01:07:02|SA
cook|23|2026-01-21 01:05:57|QLD
coolamon-shire-council|23|2026-01-21 01:04:32|NSW
coolgardie|51|2026-01-21 11:34:29|WA
coomalie|10|2025-12-04 06:42:15|NT
coonamble-shire-council|3|2026-01-22 00:14:48|NSW
coorow|20|2025-12-04 13:49:46|WA
cootamundra-gundagai-regional-council|25|2026-01-22 00:14:48|NSW
copper-coast|20|2026-01-21 01:07:02|SA
corangamite|27|2026-01-21 01:08:56|VIC
corrigin|46|2026-01-21 02:43:43|WA
cottesloe|24|2025-12-05 03:16:00|WA
cowra-council|2|2025-11-30 10:38:20|NSW
cranbrook|20|2025-12-04 13:49:46|WA
croydon|12|2026-01-21 01:05:57|QLD
cuballing|47|2026-01-21 02:43:43|WA
cue|16|2026-01-21 02:43:43|WA
cumberland-city-council|12|2025-12-03 03:49:19|NSW
cunderdin|8|2026-01-21 03:46:48|WA
dalwallinu|40|2026-01-21 02:43:43|WA
dandaragan|18|2025-12-05 03:16:00|WA
dardanup|31|2025-12-05 03:16:00|WA
darebin|21|2026-01-21 04:30:17|VIC
darwin|14|2026-01-21 08:14:17|NT
denmark|1002|2026-01-22 03:30:05|WA
derby-west-kimberley|30|2026-01-21 03:46:48|WA
derwent-valley|29|2026-01-21 01:07:26|TAS
devonport|22|2026-01-21 01:07:26|TAS
diamantina|11|2026-01-21 01:05:57|QLD
donnybrook-balingup|62|2026-01-21 06:17:12|WA
doomadgee|2|2025-12-03 03:50:11|QLD
dorset|28|2026-01-21 01:07:26|TAS
douglas|18|2026-01-21 01:05:57|QLD
dowerin|47|2026-01-21 02:43:43|WA
dubbo-regional-council|10|2026-01-21 01:04:32|NSW
dumbleyung|75|2025-12-05 03:16:00|WA
dundas|27|2026-01-21 02:43:43|WA
dungog-shire-council|14|2026-01-21 01:04:32|NSW
east-fremantle|23|2025-12-05 03:16:00|WA
east-gippsland|98|2026-01-21 01:08:56|VIC
east-pilbara|78|2026-01-21 08:22:34|WA
east_arnhem|50|2025-12-04 06:42:15|NT
edward-river-council|4|2026-01-21 01:04:32|NSW
elliston|20|2026-01-21 01:07:02|SA
esperance|6|2025-12-05 03:16:00|WA
eurobodalla-shire-council|40|2026-01-21 01:04:32|NSW
exmouth|31|2026-01-21 03:46:48|WA
fairfield-city-council|21|2026-01-21 01:04:32|NSW
federation-council|11|2026-01-21 08:02:32|NSW
flinders|66|2026-01-21 01:07:26|TAS
flinders-ranges|17|2026-01-21 01:07:02|SA
forbes-shire-council|21|2026-01-22 00:14:48|NSW
franklin-harbour|14|2026-01-21 01:07:02|SA
frankston|24|2026-01-21 01:08:56|VIC
fraser-coast|22|2026-01-22 00:16:58|QLD
fremantle|32|2026-01-21 01:09:11|WA
gannawarra|23|2026-01-21 07:59:18|VIC
gawler|20|2026-01-21 01:07:02|SA
george-town|38|2026-01-22 00:21:36|TAS
gilgandra-shire-council|3|2026-01-21 05:21:56|NSW
gingin|77|2026-01-21 04:31:25|WA
gladstone|19|2026-01-21 21:03:53|QLD
glamorgan-spring-bay|14|2026-01-21 01:07:26|TAS
glen-eira|24|2026-01-21 01:08:56|VIC
glen-innes-severn-council|10|2026-01-21 01:04:32|NSW
glenelg|22|2026-01-21 03:45:49|VIC
glenorchy|17|2026-01-21 01:07:26|TAS
gnowangerup|52|2026-01-21 02:43:43|WA
gold-coast|15|2026-01-21 01:05:57|QLD
golden-plains|32|2026-01-21 01:08:56|VIC
goomalling|24|2025-12-05 03:16:00|WA
goondiwindi|18|2026-01-21 01:05:57|QLD
gosnells|5|2025-12-05 03:16:00|WA
goulburn-mulwaree-council|15|2026-01-22 00:14:48|NSW
goyder|20|2026-01-21 01:07:02|SA
grant|20|2026-01-21 01:07:02|SA
greater-bendigo|22|2026-01-21 01:08:56|VIC
greater-dandenong|24|2026-01-21 01:08:56|VIC
greater-geelong|45|2026-01-22 00:23:35|VIC
greater-geraldton|53|2026-01-22 03:30:05|WA
greater-hume-council|11|2025-11-30 10:38:20|NSW
greater-shepparton|19|2026-01-21 01:08:56|VIC
griffith-city-council|6|2025-12-03 03:49:19|NSW
groote_archipelago|9|2025-12-04 06:42:15|NT
gunnedah-shire-council|11|2026-01-22 03:19:45|NSW
gwydir-shire-council|12|2026-01-22 00:14:48|NSW
gympie|18|2026-01-21 05:23:15|QLD
halls-creek|12|2025-12-05 03:16:00|WA
harvey|24|2025-12-05 03:16:00|WA
hawkesbury-city-council|10|2026-01-21 01:04:32|NSW
hepburn|22|2026-01-21 01:08:56|VIC
hilltops-council|37|2026-01-22 03:19:45|NSW
hinchinbrook|22|2026-01-22 03:21:39|QLD
hindmarsh|3|2025-12-03 03:51:39|VIC
hobart|22|2026-01-21 01:07:26|TAS
hobsons-bay|22|2026-01-22 00:23:35|VIC
holdfast-bay|10|2025-12-04 01:39:32|SA
hope-vale|5|2025-12-03 03:50:11|QLD
hornsby-shire-council|11|2026-01-21 01:04:32|NSW
horsham|25|2026-01-21 04:30:17|VIC
hume|21|2026-01-21 01:08:56|VIC
hunters-hill-council|14|2026-01-21 01:04:32|NSW
huon-valley|14|2026-01-21 03:44:20|TAS
indigo|11|2026-01-21 01:08:56|VIC
inner-west-council|14|2026-01-21 01:04:32|NSW
ipswich|22|2026-01-22 03:21:39|QLD
irwin|20|2025-12-04 13:49:46|WA
isaac|31|2026-01-22 00:16:58|QLD
jerramungup|48|2026-01-21 02:43:43|WA
joondalup|66|2026-01-21 03:46:48|WA
junee-shire-council|16|2026-01-21 01:04:32|NSW
kalgoorlie-boulder|30|2026-01-21 03:46:48|WA
kangaroo-island|20|2026-01-21 01:07:02|SA
karoonda-east-murray|20|2026-01-21 01:07:02|SA
katanning|52|2025-12-05 03:16:00|WA
katherine|33|2026-01-21 01:04:56|NT
kellerberrin|20|2026-01-21 03:46:48|WA
kempsey-shire-council|12|2026-01-21 04:25:42|NSW
kent|34|2025-12-05 03:16:00|WA
kentish|5|2026-01-21 01:07:26|TAS
kiama-municipal-council|20|2026-01-21 01:04:32|NSW
kimba|18|2026-01-21 01:07:02|SA
king-island|22|2026-01-21 14:43:48|TAS
kingborough|20|2026-01-21 01:07:26|TAS
kingston|13|2026-01-21 01:08:56|VIC
kingston-district|25|2026-01-21 01:07:02|SA
knox|32|2026-01-21 01:08:56|VIC
kojonup|19|2025-12-05 03:16:00|WA
kondinin|42|2026-01-22 00:24:35|WA
koorda|30|2026-01-21 03:46:48|WA
kowanyama|10|2025-12-03 03:50:11|QLD
ku-ring-gai-council|4|2025-12-03 03:49:19|NSW
kulin|48|2026-01-21 02:43:43|WA
kwinana|74|2025-12-05 03:16:00|WA
kyogle-council|25|2026-01-21 21:02:05|NSW
lachlan-shire-council|11|2026-01-21 05:48:38|NSW
lake-grace|24|2026-01-21 02:43:43|WA
lane-cove-council|22|2026-01-21 01:04:32|NSW
latrobe|70|2026-01-21 01:08:56|VIC
launceston|17|2026-01-21 01:07:26|TAS
laverton|26|2026-01-21 02:43:43|WA
leeton-shire-council|11|2026-01-21 05:21:56|NSW
leonora|50|2025-12-05 03:16:00|WA
light-regional|21|2026-01-21 01:07:02|SA
lismore-city-council|11|2026-01-22 03:19:45|NSW
litchfield|11|2025-12-05 02:54:37|NT
liverpool-city-council|7|2026-01-21 01:04:32|NSW
liverpool-plains-shire-council|14|2026-01-21 01:04:32|NSW
livingstone|23|2026-01-22 03:21:39|QLD
lockhart-river|24|2026-01-21 01:05:57|QLD
loddon|11|2026-01-21 01:08:56|VIC
logan|16|2026-01-22 03:21:39|QLD
longreach|10|2026-01-21 01:05:57|QLD
lower-eyre|19|2026-01-21 01:07:02|SA
loxton-waikerie|20|2026-01-21 01:07:02|SA
macdonnell|30|2025-12-04 06:42:15|NT
macedon-ranges|102|2026-01-21 01:08:56|VIC
mackay|330|2026-01-21 04:53:49|QLD
maitland-city-council|16|2026-01-22 03:19:45|NSW
mandurah|15|2025-12-05 03:16:00|WA
manningham|23|2026-01-21 01:08:56|VIC
mansfield|23|2026-01-21 04:56:22|VIC
mapoon|12|2026-01-21 02:39:50|QLD
maranoa|26|2026-01-21 07:37:43|QLD
mareeba|8|2026-01-21 04:53:49|QLD
maribyrnong|20|2026-01-21 02:42:50|VIC
marion|10|2025-12-04 02:12:55|SA
maroondah|16|2026-01-21 01:08:56|VIC
mckinlay|11|2026-01-21 01:05:57|QLD
meander-valley|25|2026-01-21 01:07:26|TAS
meekatharra|3|2025-12-04 12:31:56|WA
melbourne|33|2026-01-21 01:08:56|VIC
melton|23|2026-01-22 00:23:35|VIC
melville|79|2025-12-05 03:16:00|WA
menzies|34|2026-01-21 03:46:48|WA
merredin|26|2025-12-05 03:16:00|WA
merri-bek|273|2026-01-21 01:08:56|VIC
mid-murray|11|2026-01-21 01:07:02|SA
mid-western-regional-council|11|2026-01-22 00:14:48|NSW
midcoast-council|23|2026-01-21 04:25:42|NSW
mildura|17|2026-01-21 01:08:56|VIC
mingenew|20|2025-12-04 13:49:46|WA
mitcham|22|2026-01-21 01:07:02|SA
mitchell|51|2026-01-22 00:23:35|VIC
moira|20|2026-01-21 01:08:56|VIC
monash|33|2026-01-21 03:45:49|VIC
moonee-valley|22|2026-01-21 05:26:11|VIC
moora|22|2025-12-05 03:16:00|WA
moorabool|16|2026-01-21 01:08:56|VIC
morawa|60|2026-01-21 02:43:43|WA
moree-plains-shire-council|151|2025-12-04 20:44:59|NSW
moreton-bay|23|2026-01-21 05:23:15|QLD
mornington|1|2025-12-03 03:50:11|QLD
mornington-peninsula|21|2026-01-21 07:59:18|VIC
mosman-council|5|2025-12-03 03:49:19|NSW
mosman-park|22|2025-12-04 13:49:46|WA
mount-alexander|23|2026-01-21 05:53:32|VIC
mount-barker-district|17|2026-01-21 01:07:02|SA
mount-gambier|10|2025-12-04 03:05:14|SA
mount-isa|14|2026-01-21 01:05:57|QLD
mount-magnet|8|2025-12-05 03:16:00|WA
mount-marshall|20|2025-12-04 13:49:46|WA
mount-remarkable|20|2026-01-21 01:07:02|SA
moyne|16|2026-01-21 01:08:56|VIC
mukinbudin|17|2025-12-05 03:16:00|WA
mundaring|30|2026-01-21 03:46:48|WA
murchison|30|2025-12-05 03:16:00|WA
murray|54|2026-01-21 02:43:43|WA
murray-bridge|20|2026-01-21 01:07:02|SA
murrindindi|23|2026-01-21 04:56:22|VIC
murweh|7|2025-12-04 00:28:22|QLD
muswellbrook-shire-council|35|2026-01-22 00:14:48|NSW
nambucca-valley-council|8|2026-01-21 01:04:32|NSW
nannup|25|2025-12-05 03:16:00|WA
napranum|11|2025-12-05 02:55:22|QLD
narembeen|25|2025-12-05 03:16:00|WA
narrabri-shire-council|20|2026-01-21 01:04:32|NSW
narrogin|51|2026-01-21 08:22:34|WA
narromine-shire-council|213|2026-01-21 01:04:32|NSW
nedlands|30|2026-01-21 03:46:48|WA
ngaanyatjarraku|54|2026-01-21 02:43:43|WA
nillumbik|18|2026-01-21 03:45:49|VIC
noosa|18|2026-01-21 01:05:57|QLD
north-burnett|23|2026-01-21 01:05:57|QLD
north-sydney-council|25|2026-01-21 05:21:56|NSW
northam|26|2025-12-05 03:16:00|WA
northampton|29|2026-01-21 02:43:43|WA
northern-beaches-council|47|2026-01-22 03:31:49|NSW
northern-grampians|21|2026-01-22 00:23:35|VIC
northern-midlands|2|2025-12-03 03:50:29|TAS
northern-peninsula-area|12|2026-01-21 01:05:57|QLD
norwood-payneham-&-st-peters|30|2026-01-21 01:07:02|SA
nungarin|5|2025-12-05 03:16:00|WA
oberon-council|11|2026-01-21 04:25:42|NSW
onkaparinga|21|2026-01-21 01:07:02|SA
orange-city-council|22|2026-01-21 14:37:09|NSW
palm-island|12|2025-12-05 02:55:22|QLD
palmerston|11|2026-01-21 01:04:56|NT
parkes-shire-council|11|2026-01-22 03:19:45|NSW
paroo|13|2026-01-21 01:05:57|QLD
penrith-city-council|43|2026-01-21 01:04:32|NSW
perenjori|35|2026-01-21 02:43:43|WA
perth|6|2026-01-21 03:46:48|WA
pingelly|40|2026-01-21 02:43:43|WA
plantagenet|42|2026-01-21 02:43:43|WA
playford|10|2026-01-21 01:07:02|SA
pormpuraaw|1|2025-12-03 03:50:11|QLD
port-hedland|58|2026-01-22 03:30:05|WA
port-macquarie-hastings-council|10|2026-01-21 01:04:32|NSW
port-phillip|48|2026-01-22 00:23:35|VIC
port-stephens-council|13|2026-01-21 02:38:20|NSW
pyrenees|23|2026-01-21 03:45:49|VIC
quairading|9|2025-12-05 03:16:00|WA
