| State | Council | Status | Issue | Batch |
| :--- | :--- | :--- | :--- | :--- |
| WA | City of Albany | 🔴 Disabled | TBD | 1 |
| WA | City of Armadale | 🔴 Disabled | TBD | 1 |
| WA | Shire of Augusta Margaret River | 🔴 Disabled | TBD | 2 |
| WA | City of Bayswater | 🔴 Disabled | TBD | 1 |
| WA | City of Belmont | 🔴 Disabled | TBD | 1 |
| WA | Shire of Bridgetown-Greenbushes | 🔴 Disabled | TBD | 3 |
| WA | Shire of Broome | 🔴 Disabled | TBD | 2 |
| WA | Shire of Broomehill-Tambellup | 🔴 Disabled | TBD | 3 |
| WA | Town of Cambridge | 🔴 Disabled | TBD | 1 |
| WA | Shire of Carnamah | 🔴 Disabled | TBD | 3 |
| WA | City of Cockburn | 🔴 Disabled | TBD | 1 |
| WA | Shire of Collie | 🔴 Disabled | TBD | 2 |
| WA | Shire of Coorow | 🔴 Disabled | TBD | 3 |
| WA | Shire of Cranbrook | 🔴 Disabled | TBD | 3 |
| WA | Shire of Irwin | 🔴 Disabled | TBD | 3 |
| WA | City of Kalamunda | 🔴 Disabled | TBD | 1 |
| WA | City of Karratha | 🔴 Disabled | TBD | 2 |
| WA | Shire of Kent | 🔴 Disabled | TBD | 3 |
| WA | City of Melville | 🔴 Disabled | TBD | 1 |
| WA | Shire of Mingenew | 🔴 Disabled | TBD | 3 |
| WA | Town of Mosman Park | 🔴 Disabled | TBD | 2 |
| WA | Shire of Mount Marshall | 🔴 Disabled | TBD | 3 |
| WA | Shire of Mukinbudin | 🔴 Disabled | TBD | 3 |
| WA | Shire of Peppermint Grove | 🔴 Disabled | TBD | 3 |
| WA | City of Rockingham | 🔴 Disabled | TBD | 1 |
| WA | City of Swan | 🔴 Disabled | TBD | 1 |
| WA | Shire of Three Springs | 🔴 Disabled | TBD | 3 |
