# Dead Scrapers Pattern Report

council_id,state,scraper,has_selectors,has_rss_url,category,note
dubbo-regional-council,nsw,card_scraper,no,no,,
georges-river-council,nsw,card_scraper,no,no,,
hawkesbury-city-council,nsw,curl_scraper,no,no,,
lake-macquarie-city-council,nsw,opencities_scraper,no,no,,
lismore-city-council,nsw,opencities_scraper,no,no,,
port-macquarie-hastings-council,nsw,opencities_scraper,no,no,,
port-stephens-council,nsw,card_scraper,yes,no,,
sutherland-shire-council,nsw,curl_scraper,no,no,,
tamworth-regional-council,nsw,card_scraper,no,no,,
the-hills-shire-council,nsw,opencities_scraper,no,no,,
tweed-shire-council,nsw,opencities_scraper,no,no,,
wagga-wagga-city-council,nsw,curl_scraper,no,no,,
waverley-council,nsw,curl_scraper,no,no,,
armidale-regional-council,nsw,opencities_scraper,no,no,,
albury-city-council,nsw,curl_scraper,no,no,,
bellingen-shire-council,nsw,opencities_scraper,no,no,,
bogan-shire-council,nsw,rss_scraper,no,no,,
broken-hill-city-council,nsw,opencities_scraper,no,no,,
central-darling-shire-council,nsw,curl_scraper,no,no,,
clarence-valley-council,nsw,opencities_scraper,no,no,,
coonamble-shire-council,nsw,curl_scraper,no,no,,
federation-council,nsw,opencities_scraper,no,no,,
glen-innes-severn-council,nsw,opencities_scraper,no,no,,
gunnedah-shire-council,nsw,curl_scraper,no,no,,
gwydir-shire-council,nsw,curl_scraper,no,no,,
hay-shire-council,nsw,curl_scraper,no,no,,
inverell-shire-council,nsw,rss_scraper,no,no,,
kempsey-shire-council,nsw,opencities_scraper,no,no,,
lachlan-shire-council,nsw,opencities_scraper,no,no,,
leeton-shire-council,nsw,opencities_scraper,no,no,,
lithgow-city-council,nsw,curl_scraper,no,no,,
lockhart-shire-council,nsw,rss_scraper,no,no,,
mid-western-regional-council,nsw,opencities_scraper,no,no,,
murray-river-council,nsw,opencities_scraper,no,no,,
murrumbidgee-council,nsw,opencities_scraper,no,no,,
nambucca-valley-council,nsw,opencities_scraper,no,no,,
narrandera-shire-council,nsw,opencities_scraper,no,no,,
oberon-council,nsw,opencities_scraper,no,no,,
parkes-shire-council,nsw,opencities_scraper,no,no,,
shellharbour-city-council,nsw,card_scraper,no,no,,
snowy-valleys-council,nsw,opencities_scraper,no,no,,
temora-shire-council,nsw,opencities_scraper,no,no,,
uralla-shire-council,nsw,opencities_scraper,no,no,,
walgett-shire-council,nsw,opencities_scraper,no,no,,
warrumbungle-shire-council,nsw,opencities_scraper,no,no,,
wollondilly-shire-council,nsw,card_scraper,no,no,,
yass-valley-council,nsw,opencities_scraper,no,no,,
blackall-tambo,qld,opencities_scraper,no,no,,
etheridge,qld,opencities_scraper,no,no,,
lockyer-valley,qld,curl_scraper,no,no,,
quilpie,qld,rss_scraper,no,no,,
richmond,qld,curl_scraper,no,no,,
wujal-wujal,qld,curl_scraper,no,no,,
tasman,tas,rss_scraper,yes,no,,
ashburton,wa,card_scraper,yes,no,,
augusta-margaret-river,wa,card_scraper,yes,no,,
bassendean,wa,card_scraper,yes,no,,
belmont,wa,opencities_scraper,no,no,,
beverley,wa,card_scraper,yes,no,,
broome,wa,opencities_scraper,no,no,,
broomehill-tambellup,wa,opencities_scraper,no,no,,
bruce-rock,wa,card_scraper,yes,no,,
busselton,wa,aspnet_scraper,no,no,,
cambridge,wa,opencities_scraper,no,no,,
canning,wa,card_scraper,yes,no,,
carnamah,wa,curl_scraper,no,no,,
cockburn,wa,aspnet_scraper,no,no,,
cocos-keeling-islands,wa,card_scraper,yes,no,,
collie,wa,rss_scraper,no,no,,
cunderdin,wa,opencities_scraper,no,no,,
derby-west-kimberley,wa,rss_scraper,no,yes,,
exmouth,wa,opencities_scraper,no,no,,
kalamunda,wa,opencities_scraper,no,no,,
kalgoorlie-boulder,wa,opencities_scraper,no,no,,
karratha,wa,rss_scraper,no,yes,,
kellerberrin,wa,opencities_scraper,no,no,,
koorda,wa,opencities_scraper,no,no,,
manjimup,wa,card_scraper,yes,no,,
meekatharra,wa,opencities_scraper,no,no,,
mosman-park,wa,rss_scraper,no,no,,
mount-marshall,wa,rss_scraper,no,no,,
mundaring,wa,opencities_scraper,no,no,,
nedlands,wa,opencities_scraper,no,no,,
peppermint-grove,wa,opencities_scraper,no,no,,
three-springs,wa,rss_scraper,no,yes,,
victoria-park,wa,opencities_scraper,no,no,,
vincent,wa,opencities_scraper,no,no,,
westonia,wa,opencities_scraper,no,no,,
wyalkatchem,wa,opencities_scraper,no,no,,
yalgoo,wa,opencities_scraper,no,no,,
yilgarn,wa,opencities_scraper,no,no,,
alexandrina,sa,,no,no,,
barunga-west,sa,,no,no,,
clare-and-gilbert-valleys,sa,,no,no,,
coorong-district,sa,,no,no,,
naracoorte-lucindale,sa,,no,no,,
northern-areas,sa,,no,no,,
orroroo-carrieton,sa,,no,no,,
peterborough,sa,,no,no,,
playford,sa,,no,no,,
port-augusta-city,sa,,no,no,,
port-pirie-regional,sa,,no,no,,
prospect,sa,,no,no,,
renmark-paringa,sa,,no,no,,
robe,sa,,no,no,,
roxby-downs,sa,,no,no,,
salisbury,sa,,no,no,,
southern-mallee-district,sa,,no,no,,
streaky-bay,sa,,no,no,,
tatiara-district,sa,,no,no,,
tumby-bay,sa,,no,no,,
unley,sa,opencities_scraper,no,no,,
victor-harbor,sa,,no,no,,
wakefield-regional,sa,,no,no,,
walkerville,sa,,no,no,,
wattle-range,sa,,no,no,,
whyalla,sa,,no,no,,
wudinna-district,sa,,no,no,,
yankalilla,sa,,no,no,,
port-adelaide-enfield,sa,,no,no,,
macdonnell,nt,opencities_scraper,yes,no,,
palmerston,nt,rss_scraper,no,no,,
roper_gulf,nt,rss_scraper,no,no,,
wagait,nt,rss_scraper,no,no,,
